OBJECTID,globe_中文名,name_cn,gb_yq_20200305xls_OBJECTID,地区国家,累计确诊,新增确诊,gb_yq_20200305xls_累计死亡,gb_yq_20200305xls_新增死亡,Shape_Length,Shape_Area
28,格鲁吉亚,格鲁吉亚,31,格鲁吉亚,3,0,0,0,15.20674687353579,7.632983375562627
29,韩国,韩国,32,韩国,5766,438,35,3,17.98289336983087,9.888493694113702
30,荷兰,荷兰,33,荷兰,38,10,0,0,18.333355500570594,4.0540087645325915
31,加拿大,加拿大,34,加拿大,30,0,0,0,1539.468150466872,1671.6081244929162
32,柬埔寨,柬埔寨,35,柬埔寨,1,0,0,0,18.63402528346828,15.451451733370222
33,捷克,捷克,36,捷克,5,0,0,0,15.818643910981182,9.585600844794435
34,卡塔尔,卡塔尔,37,卡塔尔,8,0,0,0,4.7873525990949535,1.1415420848891193
35,科威特,科威特,38,科威特,58,2,0,0,7.773666661161529,1.8230353152445502
36,克罗地亚,克罗地亚,39,克罗地亚,9,0,0,0,27.832937848644814,6.697720489730894
37,拉脱维亚,拉脱维亚,40,拉脱维亚,1,0,0,0,17.674475146876787,8.498445404999151
38,黎巴嫩,黎巴嫩,41,黎巴嫩,13,0,0,0,4.3968577364534935,0.9857291017588082
39,立陶宛,立陶宛,42,立陶宛,1,0,0,0,13.70673626173672,9.209607774088758
40,列支敦士登,列支敦士登,43,列支敦士登,1,0,0,0,0.5537338509349466,0.014136864978603553
41,卢森堡,卢森堡,44,卢森堡,1,0,0,0,2.225166435247802,0.33199722996221875
42,罗马尼亚,罗马尼亚,45,罗马尼亚,4,0,0,0,26.454777954956725,26.917526584737633
43,马来西亚,马来西亚,46,马来西亚,50,0,0,0,49.83001741353569,26.721544235033527
44,北马其顿,北马其顿,17,北马其顿,1,0,0,0,7.2354519205800685,3.017952795752632
45,美国,美国,47,美国,129,21,9,3,527.3581157276379,1112.9050036308156
46,摩洛哥,摩洛哥,48,摩洛哥,2,1,0,0,35.673396061731864,39.0925831357494
47,摩纳哥,摩纳哥,49,摩纳哥,1,0,0,0,0.8523161152170328,0.027462250009287616
48,墨西哥,墨西哥,50,墨西哥,5,0,0,0,131.3586095527125,173.73554611987979
49,尼泊尔,尼泊尔,51,尼泊尔,1,0,0,0,20.23630907856112,13.060309627616824
50,尼日利亚,尼日利亚,52,尼日利亚,1,0,0,0,41.78217691309874,76.66049680286469
51,挪威,挪威,53,挪威,56,23,0,0,267.8994298156042,81.57468541459626
52,葡萄牙,葡萄牙,54,葡萄牙,7,5,0,0,22.388757655282383,9.403946300113345
53,日本,日本,56,日本,317,33,6,0,104.78979920248702,38.62456043847649
54,瑞典,瑞典,57,瑞典,35,11,0,0,64.62631871977895,77.22779649392618
55,瑞士,瑞士,58,瑞士,56,20,0,0,11.567842828022984,5.104879920475219
56,塞内加尔,塞内加尔,59,塞内加尔,4,3,0,0,24.687196205215827,15.868518139954155
57,沙特阿拉伯,沙特阿拉伯,60,沙特阿拉伯,2,1,0,0,65.94437383515957,175.59795618430664
58,圣马力诺,圣马力诺,63,圣马力诺,16,8,0,0,1.1315150601924215,0.05342853514833507
59,斯里兰卡,斯里兰卡,64,斯里兰卡,1,0,0,0,10.823566818714909,5.654757879000185
60,斯洛文尼亚,斯洛文尼亚,65,斯洛文尼亚,1,1,0,0,8.241584103350847,2.260139332641655
61,泰国,泰国,66,泰国,47,4,1,0,57.346016213812554,43.62243168362355
62,突尼斯,突尼斯,67,突尼斯,1,0,0,0,22.458696037337344,15.988278012532524
63,乌克兰,乌克兰,68,乌克兰,1,0,0,0,63.05817999968692,73.69212728191064
64,西班牙,西班牙,69,西班牙,198,47,1,1,55.118841175901764,54.280343511511816
65,希腊,希腊,70,希腊,9,2,0,0,58.47034243451138,12.923495647177484
66,新加坡,新加坡,71,新加坡,110,0,0,0,1.9553307336349242,0.2523737098666097
67,新西兰,新西兰,72,新西兰,2,0,0,0,58.304165366366284,29.63120638720386
68,匈牙利,匈牙利,73,匈牙利,2,2,0,0,17.81727862828512,10.96767898880457
69,亚美尼亚,亚美尼亚,74,亚美尼亚,1,0,0,0,9.904000073855808,3.665524679494105
70,伊拉克,伊拉克,75,伊拉克,36,5,2,2,30.660664906794203,41.78992464134522
71,伊朗,伊朗,76,伊朗,2922,586,92,15,68.40164742880594,155.27545671985794
72,以色列,以色列,77,以色列,15,3,0,0,8.297262355484154,2.635821759653052
73,意大利,意大利,78,意大利,3089,587,107,27,62.44360010363238,33.478741916560494
74,印度,印度,79,印度,29,23,0,0,131.09065847419012,259.72588140084724
75,印度尼西亚,印度尼西亚,80,印度尼西亚,2,0,0,0,332.89793967106874,150.2324304884168
76,英国,英国,81,英国,89,38,0,0,80.6012340838105,32.931884776853764
77,约旦,约旦,82,约旦,1,0,0,0,16.44573457072095,8.174769097572026
78,越南,越南,83,越南,16,0,0,0,51.129595842029055,28.049825586585218
79,智利,智利,85,智利,1,0,0,0,206.21721206455453,76.94303951148807
80,中国,中国,86,中国,80710,145,3045,30,260.04206422474147,965.6285542020123
81,其他,其他,55,其他,706,0,6,0,0.47041055884463034,0.013365553414913307
82,被占巴勒斯坦领土,被占巴勒斯坦领土,18,被占巴勒斯坦领土,4,4,0,0,3.0997752598773176,0.26056252278409275
83,波黑,波黑,21,波黑,2,2,0,0,8.895300903470677,3.9014952814945154
84,圣马丁,圣马丁,62,圣马丁,2,0,0,0,0.15159164717977763,0.0008890849768216117
85,直布罗陀,直布罗陀,84,直布罗陀,1,0,0,0,0.013883779104465492,6.97538032364115e-06
86,圣巴托洛缪岛,圣巴托洛缪岛,61,圣巴托洛缪岛,1,0,0,0,0.026108061968111107,2.9894487100654525e-05
